country,type,annualMassDirectCO2PerEnergy,massDirectCO2PerEnergy,massIndirectCO2ePerEnergy,massLifeCycleCO2ePerEnergy,percentElectricity,percentHeat,percentLossesElectricity,percentLossesHeat,units,source
Belgium,electricity consumption,0.26162,0.27603,0.03691,0.31294,0.917218533,0.082781467,0.048182511,0.053777857,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Bulgaria,electricity consumption,0.56782,0.55476,0.07418,0.62894,0.747801262,0.252198738,0.154162794,0.132486965,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Cyprus,electricity consumption,0.78371,0.8034,0.10743,0.91083,1,0,0.044450239,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Czech Republic,electricity consumption,0.60728,0.59962,0.08018,0.6798,0.698238206,0.301761794,0.080384403,0.166246926,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Denmark,electricity consumption,0.35232,0.36236,0.04846,0.41082,0.52956153,0.47043847,0.050942013,0.200567181,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Estonia,electricity consumption,0.87326,0.83978,0.1123,0.95208,0.590451394,0.409548606,0.152134854,0.150683943,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Finland,electricity consumption,0.1961,0.23069,0.03085,0.26154,0.610241692,0.389758308,0.035826752,0.059803012,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
France,electricity consumption,0.08838,0.09212,0.01232,0.10444,0.924781628,0.075218372,0.069852197,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Germany,electricity consumption,0.4688,0.45843,0.0613,0.51973,0.756995062,0.243004938,0.052862984,0.077995903,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Greece,electricity consumption,0.79581,0.82481,0.1103,0.93511,0.991214148,0.008785852,0.088992743,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Hungary,electricity consumption,0.35693,0.37899,0.05068,0.42967,0.688530217,0.311469783,0.106626343,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Ireland,electricity consumption,0.52718,0.58463,0.07818,0.66281,1,0,0.079251324,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Italy,electricity consumption,0.42183,0.43191,0.05776,0.48967,0.849128815,0.150871185,0.063247475,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Latvia,electricity consumption,0.18525,0.1915,0.02561,0.21711,0.375188098,0.624811902,0.120181446,0.161384384,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Lithuania,electricity consumption,0.1305,0.14503,0.01939,0.16442,0.517533747,0.482466253,0.120167014,0.156697623,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Luxembourg,electricity consumption,0.32071,0.33105,0.04427,0.37532,0.857558511,0.142441489,0.016711077,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Malta,electricity consumption,1.00077,1.02816,0.13749,1.16565,1,0,0.136448828,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Netherlands,electricity consumption,0.42051,0.42332,0.05661,0.47993,0.707747842,0.292252158,0.040857556,0.17134142,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
